"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Travis Kelce",KC,"10","7.8","0","-0.2","47% (8/17)"
"2",1,"Mark Andrews",BAL,"13","6.0","0","-2.7","33% (5/15)"
"3",1,"T.J. Hockenson",MIN,"13","4.8","0","+0.6","37% (6/16)"
"4",2,"George Kittle",SF,"9","5.0","0","+0.4","35% (5/14)"
"5",2,"Darren Waller",NYG,"13","1.8","+1","-1.4","37% (3/8)"
"6",2,"Kyle Pitts",ATL,"11","3.0","-1","-2.4","30% (3/10)"
"7",2,"Dallas Goedert",PHI,"10","3.8","0","+0.2","45% (5/11)"
"8",2,"Pat Freiermuth",PIT,"6","6.8","+1","-1.1","46% (7/15)"
"9",3,"Evan Engram",JAC,"9","2.2","-1","+1.6","56% (9/16)"
"10",3,"David Njoku",CLE,"5","4.4","0","+0.6","38% (5/13)"
"11",3,"Chigoziem Okonkwo",TEN,"7","5.2","+2","+1.1","50% (8/16)"
"12",3,"Dalton Schultz",HOU,"7","4.2","-1","-0.7","50% (7/14)"
"13",3,"Greg Dulcich",DEN,"9","7.2","+3","-0.1","44% (4/9)"
"14",3,"Cole Kmet",CHI,"13","7.0","0","+0.4","31% (5/16)"
"15",3,"Tyler Higbee",LAR,"10","1.6","0","-0.9","31% (5/16)"
"16",4,"Dalton Kincaid",BUF,"13","6.2","-4","-","-"
"17",4,"Juwan Johnson",NO,"11","8.8","+4","+2.4","60% (9/15)"
"18",4,"Gerald Everett",LAC,"5","7.8","0","-1.6","37% (6/16)"
"19",4,"Taysom Hill",NO,"11","8.0","+4","+6.9","80% (12/15)"
"20",4,"Hunter Henry",NE,"11","2.2","+9","-0.8","37% (6/16)"
"21",4,"Sam LaPorta",DET,"9","5.2","-4","-","-"
"22",4,"Dawson Knox",BUF,"13","5.8","+5","-0.2","46% (7/15)"
"23",4,"Irv Smith Jr.",CIN,"7","6.2","-4","-0.5","42% (3/7)"
"24",4,"Hayden Hurst",CAR,"7","4.4","+2","-0.2","38% (5/13)"
"25",4,"Mike Gesicki",NE,"11","2.2","-3","-0.3","25% (4/16)"
"26",4,"Trey McBride",ARI,"14","1.2","+5","+0.3","33% (5/15)"
"27",5,"Noah Fant",SEA,"5","3.6","+7","+0.1","43% (7/16)"
"28",5,"Michael Mayer",LV,"13","8.2","-8","-","-"
"29",5,"Zach Ertz",ARI,"14","2.2","-1","+1.0","55% (5/9)"
"30",5,"Isaiah Likely",BAL,"13","5.4","0","+0.1","40% (6/15)"
"31",5,"Jelani Woods",IND,"11","5.0","+1","+1.2","35% (5/14)"
"32",5,"Cade Otton",TB,"5","2.6","+4","+0.3","46% (7/15)"
"33",5,"Logan Thomas",WAS,"14","4.2","+2","-1.2","38% (5/13)"
"34",5,"Jake Ferguson",DAL,"7","4.2","-9","+0.3","33% (5/15)"
"35",5,"Luke Musgrave",GB,"6","7.4","-11","-","-"
"36",5,"Tyler Conklin",NYJ,"7","4.8","-3","+0.6","50% (8/16)"
"37",5,"Austin Hooper",LV,"13","8.2","-","-0.2","31% (5/16)"
"38",5,"Daniel Bellinger",NYG,"13","1.0","-","+0.5","58% (7/12)"
"39",6,"Luke Schoonmaker",DAL,"7","4.2","-2","-","-"
"40",6,"Robert Tonyan",CHI,"13","5.8","-","-1.1","25% (4/16)"
"41",6,"Jonnu Smith",ATL,"11","3.4","-","-0.8","57% (8/14)"
"42",6,"Adam Trautman",DEN,"9","7.8","-","-0.3","42% (6/14)"
"43",6,"Albert Okwuegbunam",DEN,"9","7.4","-","-1.3","11% (1/9)"
"44",6,"Foster Moreau",NO,"11","9.2","-","-0.3","40% (6/15)"
"45",6,"Darnell Washington",PIT,"6","6.6","-7","-","-"
"46",6,"Donald Parham Jr.",LAC,"5","6.2","-","-0.4","42% (3/7)"
"47",6,"Will Dissly",SEA,"5","3.6","-","+0.9","28% (4/14)"
"48",6,"Tucker Kraft",GB,"6","7.4","-","-","-"
"49",6,"Noah Gray",KC,"10","7.2","-","+0.9","52% (9/17)"
"50",6,"Mo Alie-Cox",IND,"11","5.6","-","-1.3","6% (1/16)"
"51",6,"Brevin Jordan",HOU,"7","4.4","-","-1.6","30% (3/10)"
"52",7,"C.J. Uzomah",NYJ,"7","4.6","-","+0.4","53% (8/15)"
"53",7,"Harrison Bryant",CLE,"5","4.4","-","-0.9","37% (6/16)"
"54",7,"Durham Smythe",MIA,"10","2.6","-","-0.5","26% (4/15)"
"55",7,"Kylen Granson",IND,"11","5.6","-","+0.2","46% (6/13)"
"56",7,"Peyton Hendershot",DAL,"7","4.4","-","+0.6","40% (6/15)"
"57",7,"Cole Turner",WAS,"14","3.8","-","-1.1","12% (1/8)"
"58",7,"Jordan Akins",CLE,"5","4.2","-","+1.2","50% (7/14)"
"59",7,"Jeremy Ruckert",NYJ,"7","5.0","-","-1.1","0% (0/8)"
"60",7,"Brock Wright",DET,"9","5.2","-","+0.4","31% (5/16)"
"61",7,"Colby Parkinson",SEA,"5","4.0","-","+0.6","37% (6/16)"
"62",7,"Tommy Tremble",CAR,"7","5.0","-","+0.1","31% (5/16)"
"63",7,"Brenton Strange",JAC,"9","2.4","-","-","-"
"64",7,"Josh Oliver",MIN,"13","4.4","-","+0.4","31% (5/16)"
"65",8,"Hunter Long",LAR,"10","2.2","-","-0.9","0% (0/7)"
"66",8,"Zack Kuntz",NYJ,"7","5.0","-","-","-"
"67",8,"James Mitchell",DET,"9","5.6","-","-0.4","30% (4/13)"
"68",8,"Elijah Higgins",MIA,"10","-","-","-","-"
"69",8,"John Bates",WAS,"14","4.0","-","-1.0","20% (3/15)"
"70",8,"Josiah Deguara",GB,"6","8.2","-","-0.7","26% (4/15)"
"71",8,"Ian Thomas",CAR,"7","6.6","-","-0.6","25% (4/16)"
"72",8,"Dan Arnold",PHI,"10","4.4","-","-0.3","33% (5/15)"
"73",8,"Charlie Kolar",BAL,"13","6.2","-","-1.5","0% (0/3)"
"74",8,"Tre' McKitty",LAC,"5","7.4","-","-1.0","18% (3/16)"
"75",8,"Eric Saubert",MIA,"10","2.6","-","-0.4","31% (5/16)"
"76",8,"Josh Whyle",TEN,"7","4.4","-","-","-"
"77",8,"O.J. Howard",FA,"-","6.8","-","-1.1","23% (3/13)"
"78",8,"Cameron Latu",SF,"9","-","-","-","-"
"79",8,"Grant Calcaterra",PHI,"10","4.4","-","-0.7","23% (3/13)"
"80",8,"Teagan Quitoriano",HOU,"7","4.4","-","-0.5","30% (3/10)"
"81",8,"Brycen Hopkins",LAR,"10","2.2","-","-0.2","30% (4/13)"
"82",8,"Drew Sample",CIN,"7","6.2","-","-0.6","0% (0/2)"
"83",8,"Jody Fortson",KC,"10","7.2","-","-0.4","28% (4/14)"
"84",8,"Ko Kieft",TB,"5","-","-","-","-"
"85",8,"Will Mallory",IND,"11","5.4","-","-","-"
"86",8,"Chris Manhertz",DEN,"9","7.6","-","-0.5","20% (3/15)"
"87",8,"Quintin Morris",BUF,"13","6.2","-","-0.6","15% (2/13)"
"88",8,"Jack Stoll",PHI,"10","4.8","-","-0.6","40% (6/15)"
"89",9,"Payne Durham",TB,"5","-","-","-","-"
"90",9,"Johnny Mundt",MIN,"13","4.6","-","+0.5","53% (8/15)"
"91",9,"Zach Gentry",PIT,"6","5.8","-","-0.7","13% (2/15)"
"92",9,"Jimmy Graham",NO,"11","-","-","-","-"
"93",9,"Ross Dwelley",SF,"9","5.0","-","-1.2","16% (2/12)"
"94",9,"Jesper Horsted",LV,"13","8.2","-","-1.2","7% (1/13)"
"95",9,"Cameron Brate",FA,"-","-","-","-0.9","30% (3/10)"
"96",9,"Devin Asiasi",CIN,"7","6.2","-","-1.2","7% (1/13)"
"97",9,"Parker Hesse",ATL,"11","2.0","-","-1.2","13% (2/15)"
"98",9,"Shane Zylstra",DET,"9","5.0","-","+1.2","23% (3/13)"
"99",9,"Connor Heyward",PIT,"6","6.2","-","-0.2","25% (2/8)"
"100",9,"Giovanni Ricci",CAR,"7","4.8","-","-0.1","30% (4/13)"
"101",9,"Luke Farrell",JAC,"9","-","-","-","-"
"102",9,"Tyler Kroft",MIA,"10","-","-","-","-"
"103",9,"Trevon Wesco",TEN,"7","-","-","-","-"
"104",9,"Kendall Blanton",KC,"10","-","-","-","-"
"105",9,"MyCole Pruitt",ATL,"11","-","-","+0.6","38% (5/13)"
"106",9,"Armani Rogers",WAS,"14","-","-","-","-"
"107",9,"Mitchell Wilcox",CIN,"7","-","-","+0.2","46% (7/15)"
"108",9,"Charlie Woerner",SF,"9","-","-","-","-"
"109",9,"Tyree Jackson",PHI,"10","-","-","-","-"
"110",9,"Tanner Hudson",CIN,"7","5.8","-","-0.7","33% (4/12)"
"111",9,"Pharaoh Brown",IND,"11","5.4","-","-0.5","23% (3/13)"
"112",9,"Jacob Hollister",LV,"13","-","-","-1.3","0% (0/7)"
"113",9,"Geoff Swaim",ARI,"14","-","-","-1.3","13% (2/15)"
"114",9,"Tommy Sweeney",NYG,"13","1.0","-","-1.1","20% (1/5)"
"115",10,"Kevin Rader",TEN,"7","-","-","-","-"
"116",10,"Tyler Davis",GB,"6","-","-","-","-"
"117",10,"Noah Togiai",ARI,"14","-","-","-","-"
"118",10,"Marcedes Lewis",CHI,"13","-","-","-","-"
"119",10,"Davis Allen",LAR,"10","-","-","-","-"
"120",10,"Andrew Beck",HOU,"7","4.4","-","-0.6","9% (1/11)"
"121",10,"Chris Myarick",NYG,"13","1.0","-","-1.0","20% (3/15)"
"122",10,"Sean McKeon",DAL,"7","-","-","-","-"
"123",10,"Blake Bell",KC,"10","-","-","-","-"
"124",10,"Brayden Willis",SF,"9","-","-","-","-"
"125",10,"Stephen Sullivan",CAR,"7","-","-","-","-"
"126",10,"Kyle Rudolph",FA,"-","-","-","-","-"
"127",10,"Jake Tonges",FA,"-","-","-","-","-"
"128",10,"Nick Boyle",FA,"-","-","-","-1.2","0% (0/12)"
"129",10,"Chase Allen",FA,"-","-","-","-","-"
"130",10,"Stone Smartt",LAC,"5","-","-","-","-"
"131",10,"Tyler Mabry",SEA,"5","-","-","-","-"
"132",11,"Travis Vokolek",BAL,"13","-","-","-","-"
"133",11,"Andrew Ogletree",IND,"11","-","-","-","-"
"134",11,"Jacob Harris",JAC,"9","-","-","-","-"
"135",11,"Kenny Yeboah",NYJ,"7","-","-","-","-"
"136",11,"David Wells",TB,"5","-","-","-","-"
"137",11,"Mason Schreck",HOU,"7","-","-","-","-"